person_id,person_age,person_income,person_home_ownership,person_emp_length
tad8vkTn-vp4l,33,48000,RENT,17.0
dEILQqp2-lgLx,24,75000,OWN,0.0
Az11sWWw-SdFA,29,28800,RENT,5.0
YDovEwBH-0eek,23,75000,MORTGAGE,7.0
lNsbfwlP-gzOE,26,35000,rent,0.0
UBMQqsOx-2j9d,29,42000,OWN,13.0
j6Jtq4Kl-crSn,32,19200,rent,0.0
uwZpWJIF-tWPK,42,65000,MORTGAGE,0.0
gQe3njpm-O4Lq,23,37500,RENT,2.0
Iu5a6umc-FOTz,27,30000,RENT,0.0
HeqxfhiM-HNxK,23,22800,RENT,0.0
3CU8TSyD-BuJb,21,28000,OWN,3.0
bT0F3oPe-pFgR,41,33150,rent,5.0
pNnqq0Ql-mXDg,22,51000,RENT,6.0
itjcFMBi-gz9P,28,68000,rent,4.0
6OY182uN-lcQM,48,70000,MORTGAGE,2.0
yyyk2MNt-GLwA,23,44000,MORTGAGE,
4K7C1WYI-fy2y,22,60000,RENT,3.0
WvikzddB-Fzo8,23,85000,rent,2.0
xbcEnWno-o0rt,24,56000,MORTGAGE,5.0
MfiEDn7W-PM2H,25,45000,RENT,2.0
94xivDPi-k3xP,24,55680,mortgage,4.0
Rav56uBz-yyNv,27,37595,RENT,6.0
pae5sxqQ-qbtp,23,141000,mortgage,1.0
xcUZipym-4w1r,37,74568,rent,0.0
wQjd4F7u-P45x,26,86004,RENT,0.0
c99fUofK-XKyq,26,29000,mortgage,10.0
52o98vTC-Wcan,25,23712,RENT,9.0
53XjLq2m-Czti,31,46875,RENT,1.0
abpSWlo9-swJH,51,50000,RENT,9.0
qlWL5n7v-00z9,27,50000,RENT,5.0
aozeexaW-CRd3,29,64548,RENT,1.0
AXPx1H49-e0MC,23,75000,RENT,1.0
Rb8rEG8L-xyuB,23,53950,mortgage,8.0
ORYulcLB-YjU5,35,87550,rent,3.0
rsFPDNCl-vEOu,23,85000,mortgage,7.0
mPmL4Pzx-qL9E,28,63000,MORTGAGE,3.0
gR7jNhTp-3lDH,23,60000,MORTGAGE,
F9a6bBd9-Xe2o,27,68000,rent,4.0
DHRCl1bl-vU29,37,52188,mortgage,14.0
PcqR89o8-gQyu,46,30000,mortgage,13.0
yvIkctME-Y9vP,24,85000,mortgage,1.0
RCWidnea-ln77,25,70000,RENT,9.0
se85w3kj-tMQb,28,44447,mortgage,8.0
Gi7l8tEK-JXJu,31,77000,mortgage,4.0
826ZX2NK-Fhww,32,72000,RENT,6.0
364IUN7q-3ZMi,23,51600,mortgage,1.0
ARMlOELv-qSQf,43,141000,mortgage,24.0
3EK38r1X-Kaid,26,30000,own,3.0
5EK5G34w-GMlO,22,80000,rent,3.0
jCClqEWY-swUQ,27,48000,rent,2.0
rqZThIHI-PbrM,26,104676,mortgage,
mmQbQYG5-j9Qd,27,27000,rent,2.0
RSQpYv0W-D6Oo,24,12600,RENT,2.0
WO4bF6sy-1on4,24,154000,MORTGAGE,8.0
ommbRPCs-PAaa,23,42000,mortgage,2.0
wKyc0Yjf-bYUM,22,38000,rent,0.0
RhAHut9i-hY1X,24,82000,MORTGAGE,8.0
xlJ2wSfe-Hd1a,48,64430,MORTGAGE,14.0
T8rX7u9r-6CAP,22,60000,RENT,0.0
9SIGBQ1B-MpJz,26,80000,RENT,5.0
llzuyFX9-13An,27,82500,MORTGAGE,3.0
LgqzDyqj-zsFI,,39996,RENT,
uNRXUN05-PU4l,24,80000,RENT,6.0
awC8jyzL-R2mq,30,53000,rent,4.0
ry37CLpH-e3fW,39,134000,mortgage,
NyNpqeqQ-tvRe,22,175000,MORTGAGE,6.0
5absUf2c-Bw64,23,30000,rent,1.0
c2YX42IR-exMF,32,45000,RENT,1.0
4fXmWjJB-zGmt,21,27000,RENT,5.0
24MDvPU5-tC7q,29,153000,own,13.0
0rTT1m0A-WtyP,24,62800,rent,5.0
xPlx9Zvd-ZLBt,29,60000,mortgage,
tcoKOiXu-3NhX,25,44400,OWN,1.0
pqCWDZ93-rwdo,39,117996,RENT,6.0
J1F9WUy9-LX4z,27,65000,RENT,5.0
r3kSXh1r-pnyf,24,30000,RENT,1.0
JMsgWhrw-eH0d,24,63000,MORTGAGE,8.0
OyIJa5Wc-xAur,21,65000,rent,0.0
DBa4bxd9-HUnN,30,,RENT,0.0
pixS4R8D-BX7q,29,32000,rent,10.0
KQ3Nk9c2-3USb,23,59000,RENT,7.0
aSip5Bm5-u3nw,27,48000,RENT,0.0
bWBG5sxh-O8H3,21,45000,mortgage,4.0
6NAlDjmN-TGMe,23,50000,rent,5.0
BZqvILRq-w77J,27,42000,MORTGAGE,0.0
H3RyPBaY-p7xT,26,46000,MORTGAGE,3.0
wH3Y5fYZ-awK4,25,52000,RENT,3.0
SoZwJPhI-kd01,26,37086,rent,7.0
0W39U52r-U9Iy,23,44000,RENT,3.0
hmbDBDFa-hJ0a,24,40000,RENT,1.0
2SMkEiY1-lfZF,,45000,,3.0
