loan_id,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income
NMgFWFWN-2yGG,HOMEIMPROVEMENT,C,20000,13.22,0,0.22
08Ts3XSa-KkvE,VENTURE,C,6000,13.49,0,0.04
xo79pAME-elmp,PERSONAL,A,8000,6.17,0,0.13
IB6lBS2h-nWhz,homeimprovement,B,9600,10.08,0,0.16
CONLtJHn-1yde,medical,A,6500,8.49,0,0.3
SMdIxXrw-27oy,EDUCATION,B,20000,,0,0.36
uIe8aQoy-hIqe,PERSONAL,A,2000,6.91,0,0.03
W72bsmMT-dIx2,DEBTCONSOLIDATION,C,20000,13.57,0,0.22
wYjZFJq9-2LYE,VENTURE,A,2500,5.99,0,0.03
hbKlikzO-ZgOB,venture,A,9000,6.99,0,0.25
vZLO042S-4bTF,PERSONAL,D,25000,15.21,1,0.37
lUTwykiO-Qf79,debtconsolidation,B,12400,10.65,0,0.3
x5vU1QNy-Ef7b,PERSONAL,B,25000,9.91,1,0.41
DOEx7Dov-cakY,venture,B,4500,9.88,0,0.14
MkD1gc0r-W5Xj,debtconsolidation,A,15000,9.63,0,0.26
KmRI7NrG-JUxU,PERSONAL,D,25000,16.32,0,0.21
UqqOfNpg-cOyH,DEBTCONSOLIDATION,A,7000,9.07,0,0.15
FTSYhrp6-4adX,PERSONAL,B,10000,10.0,0,0.13
JvkTGpaD-ra8i,HOMEIMPROVEMENT,A,15000,5.99,0,0.07
1Qko1zyv-AvOa,PERSONAL,D,7000,15.62,1,0.29
Mdwtwt3h-YcsY,debtconsolidation,C,8000,13.49,0,0.11
fNbxEffG-WSh6,MEDICAL,A,24000,6.62,0,0.16
8BJ7Nvpu-kNbr,MEDICAL,B,3000,11.14,0,0.07
Pj4s7oHr-xYyG,HOMEIMPROVEMENT,D,4900,14.54,1,0.27
l3HT4gg4-bwKk,personal,C,3625,6.92,0,0.11
b2vBKv2M-2IYp,HOMEIMPROVEMENT,B,12375,10.99,0,0.25
zzGGi9ec-u2LF,VENTURE,B,5000,12.42,0,0.11
iL2FHM1g-UAQ2,venture,C,2500,12.84,1,0.09
wLZUwkYA-y71s,education,C,6400,12.84,0,0.26
I6HH5F60-dSJT,personal,B,2000,10.99,0,0.04
WZsgllpB-87Zw,venture,A,4000,7.43,0,0.06
9L9NyqS6-A97Z,PERSONAL,B,3000,11.49,0,0.08
dXeqhFMX-jASj,venture,B,2000,10.37,0,0.06
Tepb8L4q-NStS,education,A,6500,7.14,0,0.09
7OfCTDuy-UTqS,EDUCATION,B,3000,,0,0.09
159d2zBS-vhU8,education,A,7500,,0,0.25
BldAdx3r-PA8T,debtconsolidation,A,1800,5.42,0,0.05
xzQeJZGy-UL1c,education,B,4000,10.75,0,0.14
UrSDOZmq-SHv8,DEBTCONSOLIDATION,C,2500,14.35,0,0.03
p4waHg9o-oY0p,VENTURE,C,8000,12.84,0,0.19
5ghsIX6A-Nank,debtconsolidation,A,12000,5.79,0,0.15
1vl1QZ1e-nImx,VENTURE,A,4250,5.42,0,0.06
ju9ffE7L-ZCcQ,PERSONAL,A,1000,8.49,1,0.1
LRLR03uY-R4iv,VENTURE,A,9800,7.29,1,0.35
xFgOFTuY-3UOf,DEBTCONSOLIDATION,A,10000,6.62,0,0.2
U58yKxJd-azt8,education,B,10000,12.21,0,0.12
nhLomTZL-MWm8,homeimprovement,D,23000,18.25,0,0.15
Rk5lxfOB-bgRl,education,B,3700,9.62,0,0.15
riHeiLkp-21mg,DEBTCONSOLIDATION,C,6000,12.68,0,0.08
hAberCcb-LSbW,education,C,1700,14.72,0,0.04
ruprjin8-Ne1v,MEDICAL,B,8950,11.89,0,0.13
WeNCYWry-UodR,PERSONAL,B,25000,12.18,0,0.32
XBXWAnIQ-DOLC,debtconsolidation,B,16000,10.99,0,0.42
MjTNYsmN-6qBc,debtconsolidation,C,25000,12.73,0,0.29
GxcBplsQ-Nvch,debtconsolidation,A,10375,5.42,0,0.25
W0EcSQKT-jJhE,PERSONAL,A,3200,7.68,0,0.05
lzY796Px-sse4,medical,A,12000,5.99,1,0.31
Pp8swPTC-Hi0o,DEBTCONSOLIDATION,A,6000,5.99,0,0.08
OsNflsOz-3ICi,MEDICAL,C,5000,14.26,0,0.07
c4tiPmKt-26Xo,personal,A,10000,5.99,0,0.12
lyLNRrBX-Q2RZ,MEDICAL,B,6000,9.25,0,0.15
7s4lG8cS-sWKI,EDUCATION,B,4800,12.69,0,0.15
MYzyII9d-zZJC,MEDICAL,B,2000,9.25,0,0.05
zUZnjW1g-kj6S,PERSONAL,A,12000,8.9,0,0.16
gp7W8s0h-4AkX,education,A,8500,6.54,0,0.17
RpL0w7DM-KcS7,EDUCATION,A,12000,5.42,0,0.1
EDOeOFFJ-3voF,education,B,20000,10.38,0,0.18
OulcAcOC-Z6Zc,VENTURE,C,4000,14.82,0,0.07
CSw4G9mI-UpNo,personal,D,18250,14.61,1,0.49
o59JMnof-WScs,medical,B,30000,10.65,1,0.35
D3StTyco-NsWn,PERSONAL,B,7350,11.12,0,0.15
qQKvvlcO-s0qG,MEDICAL,A,5100,8.9,0,0.14
UFhhacG1-wAsT,medical,B,15000,11.14,0,0.27
xUprqrK1-virg,homeimprovement,A,5500,7.49,0,0.06
vxjZs5JC-CRJo,MEDICAL,,7500,6.03,,0.14
ICiBNbNT-CCCG,education,B,5000,10.25,0,0.15
injMnNAf-kJAo,medical,B,16000,11.99,0,0.15
oCxMd71B-sc91,MEDICAL,B,9000,10.08,0,0.23
DNMdGQEi-oDg1,DEBTCONSOLIDATION,A,5000,7.9,0,0.19
v69U1Sm2-8qXK,DEBTCONSOLIDATION,D,30000,,1,0.38
touT2QYe-Zq12,MEDICAL,A,22000,7.9,0,0.16
2lJGIqQM-bp5M,HOMEIMPROVEMENT,B,7000,10.65,0,0.19
UUAHnhF9-OJsM,medical,C,24000,12.73,0,0.14
0kpyNK1D-uxSp,VENTURE,B,4500,11.49,0,0.08
LDph9RXg-ztvn,debtconsolidation,A,8500,7.51,0,0.11
yzp7phfK-dcrs,personal,B,7200,10.59,0,0.21
KLn4W1wY-0HKr,medical,D,15000,15.99,0,0.06
G2xAYqPJ-e9DX,homeimprovement,A,20000,6.91,0,0.25
2wRq2gRC-NZ6q,PERSONAL,B,14000,10.65,0,0.29
sfExqdkJ-3R9c,PERSONAL,B,21000,10.99,0,0.17
DBz5tBbR-bKxN,venture,B,10000,9.63,1,0.45
bRRoWzUv-HtkY,venture,A,10000,7.49,0,0.08
v05ojhjr-eCy4,EDUCATION,B,20050,9.76,1,0.77
g50CBbJq-GC92,EDUCATION,A,3200,6.39,0,0.04
9xQKOhnz-LrpZ,medical,B,15000,9.91,0,0.27
FiRfW7Rl-hTJu,VENTURE,C,4000,13.48,0,0.06
rb4knt3I-rJI9,EDUCATION,C,6300,14.35,0,0.21
j06x2SYk-I5XL,HOMEIMPROVEMENT,C,15000,12.53,0,0.12
inCbX3H9-SZG0,MEDICAL,A,15000,6.17,0,0.19
fXeLXAbO-5nMQ,homeimprovement,A,8750,7.74,0,0.06
4kvjaXck-S0E4,DEBTCONSOLIDATION,D,8000,16.77,1,0.24
wyAj0NeR-icwA,DEBTCONSOLIDATION,B,5500,9.76,0,0.19
oSbzFg0S-jy08,HOMEIMPROVEMENT,C,7000,10.28,0,0.13
x2mXKEGF-RBSs,EDUCATION,A,8000,7.66,0,0.11
IzAKBBp8-4hek,PERSONAL,A,7200,7.51,0,0.3
OzvzMy6P-m5kX,debtconsolidation,B,22000,15.23,0,0.19
amyEzryy-wGRW,PERSONAL,A,35000,8.9,1,0.42
8ozbC8r3-O94a,homeimprovement,D,13050,14.59,0,0.09
Bdr02R6l-jjrD,personal,B,12000,16.77,,0.19
h7uW2P3p-Ygnl,PERSONAL,D,3000,15.62,0,0.05
fTQP1wD6-tCDD,DEBTCONSOLIDATION,A,16000,7.49,0,0.27
zbiKBaCu-PeRt,MEDICAL,D,10000,15.33,1,0.18
